FUNCION, PARAMETROS, LINEAS, INVOCACIONES, RETURNS, IF, FOR, WHILE, BREAKS, EXITS, COMENTS, AYUDAS, AUTORES
abrir_archivos.modulo_merge.py, 1, 4, 0, 1, 0, 1, 0, 0, 0, 0, SI, '[Autor: Tomas Yu Nakasone]'
buscar_autor.generador_csv.py, 1, 8, 0, 1, 2, 1, 0, 0, 0, 0, SI, '[Autor: Tomas Yu Nakasone]'
buscar_ayuda.generador_csv.py, 1, 8, 0, 1, 2, 1, 0, 0, 0, 0, SI, '[Autor: Tomas Yu Nakasone]'
buscar_dueño.panel_general_funciones.py, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0, SI, '[Autor: Tomas Yu Nakasone]'
buscar_funcion.informacion_desarrollador.py, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0, SI, '[Autor: Tomas Yu Nakasone]'
buscar_funcion_modulo.panel_general_funciones.py, 1, 5, 0, 1, 1, 1, 0, 0, 0, 0, SI, '[Autor: Tomas Yu Nakasone]'
calc_porcentaje.informacion_desarrollador.py, 2, 3, 1, 1, 0, 0, 0, 0, 0, 0, SI, '[Autor: Tomas Yu Nakasone]'
calc_total_lineas.informacion_desarrollador.py, 1, 6, 0, 1, 0, 2, 0, 0, 0, 1, SI, '[Autor: Tomas Yu Nakasone]'
carga_dic_participacion.informacion_desarrollador.py, 2, 14, 0, 1, 1, 0, 1, 0, 0, 2, SI, '[Autor: Tomas Yu Nakasone]'
carga_lista_funciones.analizador_reutilizacion_codigo.py, 1, 8, 0, 1, 0, 0, 1, 0, 0, 1, SI, '[Autor: Fabiola Siles]'
cargar_dic_coment.generador_csv.py, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0, SI, '[Autor: Tomas Yu Nakasone]'
cargar_matriz.analizador_reutilizacion_codigo.py, 2, 8, 0, 1, 0, 2, 0, 0, 0, 5, SI, '[Autor: Tomas Yu Nakasone]'
caso_hashtag.consulta_funciones.py, 3, 24, 0, 0, 1, 2, 1, 0, 0, 0, SI, '[Autor: Carlos Medina]'
caso_hashtag_todo.consulta_funciones.py, 2, 22, 0, 0, 0, 2, 1, 0, 0, 0, SI, '[Autor: Carlos Medina]'
caso_imprimir_todo.consulta_funciones.py, 3, 14, 0, 0, 0, 0, 1, 0, 0, 0, SI, '[Autor: Carlos Medina]'
caso_pregunta.consulta_funciones.py, 3, 16, 0, 0, 1, 0, 1, 0, 0, 0, SI, '[Autor: Carlos Medina]'
caso_pregunta_todo.consulta_funciones.py, 2, 14, 0, 0, 0, 0, 1, 0, 0, 0, SI, '[Autor: Carlos Medina]'
cerrar_archivos.modulo_merge.py, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, SI, '[Autor: Tomas Yu Nakasone]'
conseguir_funcion.consulta_funciones.py, 1, 9, 0, 1, 2, 0, 0, 0, 0, 2, SI, '[Autor: Carlos Medina]'
