FUNCION, PARAMETROS, LINEAS, INVOCACIONES, RETURNS, IF, FOR, WHILE, BREAKS, EXITS, COMENTS, AYUDAS, AUTORES
cont_lineas_codigo.panel_general_funciones.py, 1, 6, 0, 1, 1, 1, 0, 0, 0, 2, SI, '[Autor: Tomas Yu Nakasone]'
count_comentarios.panel_general_funciones.py, 1, 7, 0, 1, 1, 0, 0, 0, 0, 0, SI, '[Autor: Tomas Yu Nakasone]'
count_ifs.panel_general_funciones.py, 1, 6, 0, 1, 1, 1, 0, 0, 0, 1, SI, '[Autor: Tomas Yu Nakasone]'
count_invocaciones.panel_general_funciones.py, 1, 21, 0, 1, 3, 1, 2, 0, 0, 3, SI, '[Autor: Tomas Yu Nakasone]'
count_lineas_codigo.informacion_desarrollador.py, 1, 6, 0, 1, 1, 1, 0, 0, 0, 2, SI, '[Autor: Tomas Yu Nakasone]'
count_palabra.panel_general_funciones.py, 2, 7, 0, 1, 1, 1, 0, 0, 0, 2, SI, '[Autor: Tomas Yu Nakasone]'
count_parametros.panel_general_funciones.py, 1, 3, 0, 1, 0, 0, 0, 0, 0, 0, SI, '[Autor: Tomas Yu Nakasone]'
crear_comentarios_csv.generador_csv.py, 3, 7, 0, 0, 0, 0, 0, 0, 0, 1, SI, '[Autor: Tomas Yu Nakasone]'
crear_funciones_csv.generador_csv.py, 3, 8, 0, 0, 0, 0, 0, 0, 0, 1, SI, '[Autor: Tomas Yu Nakasone]'
crear_lista_codigo.panel_general_funciones.py, 1, 6, 2, 1, 0, 0, 0, 0, 0, 2, SI, '[Autor: Tomas Yu Nakasone]'
crear_matriz.analizador_reutilizacion_codigo.py, 2, 3, 0, 1, 0, 1, 0, 0, 0, 0, SI, '[Autor: Tomas Yu Nakasone]'
dueño.informacion_desarrollador.py, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0, SI, '[Autor: Tomas Yu Nakasone]'
enc_extra_descripcion.consulta_funciones.py, 1, 8, 1, 1, 1, 0, 0, 0, 0, 0, SI, '[Autor: Carlos Medina]'
encontrar_autor.consulta_funciones.py, 1, 2, 4, 1, 0, 0, 0, 0, 0, 0, SI, '[Autor: Carlos Medina]'
encontrar_descripcion.consulta_funciones.py, 1, 7, 4, 1, 1, 1, 0, 0, 0, 0, SI, '[Autor: Carlos Medina]'
encontrar_funcion.consulta_funciones.py, 1, 2, 4, 1, 0, 0, 0, 0, 0, 0, SI, '[Autor: Carlos Medina]'
encontrar_llave_param.generador_csv.py, 1, 5, 1, 1, 0, 0, 0, 0, 0, 0, SI, '[Autor: Tomas Yu Nakasone]'
encontrar_modulo.consulta_funciones.py, 1, 5, 4, 1, 1, 1, 0, 0, 0, 0, SI, '[Autor: Carlos Medina]'
encontrar_param.consulta_funciones.py, 1, 3, 4, 1, 0, 0, 0, 0, 0, 0, SI, '[Autor: Carlos Medina]'
escribir_analizador.analizador_reutilizacion_codigo.py, 5, 4, 0, 0, 0, 0, 0, 0, 0, 0, SI, '[Autor: Fabiola Siles]'
escribir_arch_salida.consulta_funciones.py, 6, 22, 0, 0, 3, 3, 0, 0, 0, 1, SI, '[Autor: Carlos Medina]'
escribir_cabecera.analizador_reutilizacion_codigo.py, 2, 7, 0, 0, 1, 1, 0, 0, 0, 0, SI, '[Autor: Fabiola Siles]'
escribir_cuerpo.analizador_reutilizacion_codigo.py, 4, 6, 0, 0, 0, 2, 0, 0, 0, 0, SI, '[Autor: Fabiola Siles]'
escribir_info_desarrollador.informacion_desarrollador.py, 3, 16, 0, 0, 0, 2, 0, 0, 0, 0, SI, '[Autor: Tomas Yu Nakasone]'
escribir_panel_general.panel_general_funciones.py, 14, 2, 0, 0, 0, 0, 0, 0, 0, 0, SI, '[Autor: Tomas Yu Nakasone]'
escribir_registros.generador_csv.py, 2, 4, 1, 0, 0, 1, 0, 0, 0, 0, SI, '[Autor: Tomas Yu Nakasone]'
escribir_ultima_fila.analizador_reutilizacion_codigo.py, 3, 3, 0, 0, 0, 1, 0, 0, 0, 0, SI, '[Autor: Fabiola Siles]'
gen_dic_funcion_id.analizador_reutilizacion_codigo.py, 1, 4, 0, 1, 0, 1, 0, 0, 0, 0, SI, '[Autor: Fabiola Siles]'
gen_dic_inv_x.analizador_reutilizacion_codigo.py, 3, 11, 0, 1, 0, 0, 1, 0, 0, 3, SI, '[Autor: Fabiola Siles]'
gen_dic_invoc_count.analizador_reutilizacion_codigo.py, 4, 11, 0, 1, 0, 0, 1, 0, 0, 4, SI, '[Autor: Tomas Yu Nakasone]'
gen_lista_linea_codigo.informacion_desarrollador.py, 1, 6, 0, 1, 0, 0, 0, 0, 0, 3, SI, '[Autor: Tomas Yu Nakasone]'
gen_ultima_fila.analizador_reutilizacion_codigo.py, 1, 6, 0, 1, 1, 2, 0, 0, 0, 1, SI, '[Autor: Fabiola Siles]'
generar_dict_comentarios.generador_csv.py, 1, 27, 0, 1, 3, 0, 3, 0, 0, 2, SI, '[Autor: Tomas Yu Nakasone]'
generar_dict_funciones.generador_csv.py, 1, 28, 0, 1, 4, 0, 3, 0, 0, 3, SI, '[Autor: Tomas Yu Nakasone]'
guardar.modulo_merge.py, 3, 5, 0, 0, 0, 1, 0, 0, 0, 1, SI, '[Autor: Tomas Yu Nakasone]'
hay_ayuda.panel_general_funciones.py, 1, 6, 0, 1, 1, 0, 0, 0, 0, 0, SI, '[Autor: Tomas Yu Nakasone]'
imprimir_cabecera.analizador_reutilizacion_codigo.py, 1, 8, 0, 0, 1, 1, 0, 0, 0, 0, SI, '[Autor: Fabiola Siles]'
imprimir_info_desarrollador.informacion_desarrollador.py, 2, 15, 0, 0, 0, 2, 0, 0, 0, 0, SI, '[Autor: Tomas Yu Nakasone]'
imprimir_lineas.analizador_reutilizacion_codigo.py, 2, 7, 0, 0, 0, 2, 0, 0, 0, 0, SI, '[Autor: Fabiola Siles]'
imprimir_todo.analizador_reutilizacion_codigo.py, 4, 3, 1, 0, 0, 0, 0, 0, 0, 0, SI, '[Autor: Fabiola Siles]'
imprimir_ultima_fila.analizador_reutilizacion_codigo.py, 2, 3, 0, 0, 0, 1, 0, 0, 0, 0, SI, '[Autor: Fabiola Siles]'
leer.modulo_merge.py, 1, 6, 1, 1, 1, 0, 0, 0, 0, 0, SI, '[Autor: Tomas Yu Nakasone]'
leer_linea.generador_csv.py, 1, 2, 2, 1, 0, 0, 0, 0, 0, 0, SI, '[Autor: Tomas Yu Nakasone]'
leer_lineas.modulo_merge.py, 1, 5, 0, 1, 0, 1, 0, 0, 0, 0, SI, '[Autor: Tomas Yu Nakasone]'
lista_de_funciones.consulta_funciones.py, 1, 7, 0, 1, 0, 0, 1, 0, 0, 0, SI, '[Autor: Carlos Medina]'
lista_invoc_count.analizador_reutilizacion_codigo.py, 2, 6, 0, 1, 1, 1, 0, 0, 0, 0, SI, '[Autor: Fabiola Siles]'
lista_invocaciones_id.analizador_reutilizacion_codigo.py, 3, 6, 0, 1, 1, 1, 0, 0, 0, 1, SI, '[Autor: Fabiola Siles]'
lista_lineas_de_codigo.consulta_funciones.py, 1, 10, 1, 1, 1, 1, 0, 0, 0, 4, SI, '[Autor: Carlos Medina]'
main_analizador.analizador_reutilizacion_codigo.py, 2, 10, 0, 0, 0, 0, 0, 0, 0, 2, SI, '[Autor: Fabiola Siles]'
main_consulta_funciones.consulta_funciones.py, 4, 27, 0, 0, 5, 0, 1, 0, 0, 6, SI, '[Autor: Carlos Medina]'
main_generador.generador_csv.py, 1, 16, 0, 1, 0, 0, 1, 0, 0, 3, SI, '[Autor: Tomas Yu Nakasone]'
main_informacion_desarrollador.informacion_desarrollador.py, 3, 5, 0, 0, 0, 0, 0, 0, 0, 0, SI, '[Autor: Tomas Yu Nakasone]'
main_main.main.py, 1, 50, 0, 0, 4, 0, 0, 0, 0, 0, SI, '[Autor: Tomas Yu Nakasone]'
main_modulo_merge.modulo_merge.py, 2, 12, 0, 0, 0, 0, 0, 0, 0, 6, SI, '[Autor: Tomas Yu Nakasone]'
main_panel_general_funciones.panel_general_funciones.py, 3, 16, 0, 0, 0, 0, 1, 0, 0, 1, SI, '[Autor: Tomas Yu Nakasone]'
menor_funcion.modulo_merge.py, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0, SI, '[Autor: Tomas Yu Nakasone]'
merge.modulo_merge.py, 2, 10, 1, 0, 0, 1, 2, 0, 0, 3, SI, '[Autor: Tomas Yu Nakasone]'
mostrar_cuadro.consulta_funciones.py, 1, 8, 0, 0, 0, 0, 2, 0, 0, 0, SI, '[Autor: Carlos Medina]'
ordenar_dict.generador_csv.py, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0, SI, '[Autor: Tomas Yu Nakasone]'
otros_coments.generador_csv.py, 1, 5, 0, 1, 1, 1, 0, 0, 0, 0, SI, '[Autor: Tomas Yu Nakasone]'
